"","NTA","BORO","YEAR","NTACODE","POPN_2018","GENTRI_SCORE_NTA","WHITE_CHANGE_NTA","FOREIGN_CHANGE_NTA","NO_HS_CHANGE_NTA","FEL_PAX_CHANGE_NTA"
"1","Bath Beach","Brooklyn",2018,"BK27",33020,-2.35277142079758,-18.1819807024927,6.84633214915545,-4.27733429094454,-0.000207838226965145
"2","Bay Ridge","Brooklyn",2018,"BK31",79187,-1.1279800139849,-6.03895819473584,1.82304013184881,-0.831978020932336,3.70344803810543e-05
"3","Bedford","Brooklyn",2018,"BK75",77847,5.5608752847112,14.3266079738532,-0.082297290174442,-2.43831517045486,-0.000626133009930842
"4","Bensonhurst East","Brooklyn",2018,"BK29",65502,-0.0116755923218108,-5.26509709586538,1.52890531353282,-3.70116500536713,-5.31472240878368e-05
"5","Bensonhurst West","Brooklyn",2018,"BK28",90847,-2.90838042410348,-14.4354012214801,4.84315198883267,-0.867107960336968,-0.000110339881137705
"6","Borough Park","Brooklyn",2018,"BK88",102494,-1.50356757882898,-0.980893755899374,-4.2990623411561,-0.769253360568544,-4.71130024650153e-05
"7","Brighton Beach","Brooklyn",2018,"BK19",34431,0.0317267061987784,1.47065551928529,0.210496110508235,1.58597151119719,-0.000137331664907102
"8","Brooklyn Heights-Cobble Hill","Brooklyn",2018,"BK09",24168,-1.46711485449699,-2.61952521153862,-1.51796551669567,0.263853835256678,4.20232575426429e-05
"9","Brownsville","Brooklyn",2018,"BK81",52174,0.833397162940288,-0.338981046065564,3.30898371375814,0.46981117887171,4.60111890552308e-06
"10","Bushwick North","Brooklyn",2018,"BK77",57051,3.03732447911833,9.69749473937012,-9.13565836315351,-8.55013706113839,-0.000190446344027463
"11","Bushwick South","Brooklyn",2018,"BK78",72925,3.98588941369734,11.9963435415818,-4.3727999272375,-4.33412462674771,0.000653643137728678
"12","Canarsie","Brooklyn",2018,"BK50",88522,-1.35260552399322,-2.12028850600366,-2.02600641629668,-0.0884783503206896,-0.000184572449312927
"13","Carroll Gardens-Columbia Street-Red Hook","Brooklyn",2018,"BK33",43766,1.22332586768945,1.55185006795541,-1.69579537774452,-3.81392291285747,0.000161280106028278
"14","Clinton Hill","Brooklyn",2018,"BK69",38930,4.67822405189368,13.8448609762008,-1.57302842444678,-1.76283960392699,-0.000301445674478815
"15","Crown Heights North","Brooklyn",2018,"BK61",109987,2.76661975244953,8.5518577697342,-2.22178090756093,-1.96978239517533,-0.00018554405979223
"16","Crown Heights South","Brooklyn",2018,"BK63",40451,3.26141805464417,8.8361948919582,-1.70928839303098,-2.6573476650053,-8.91554913814797e-06
"17","Cypress Hills-City Line","Brooklyn",2018,"BK83",49063,0.127665516633511,-2.46267692268492,0.737618186565788,-2.10805528601966,-0.000123992377753813
"18","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","Brooklyn",2018,"BK38",45607,2.41951145677388,3.88469370498229,1.10177192425939,-2.27206874107994,-0.0794754411390026
"19","Dyker Heights","Brooklyn",2018,"BK30",43888,-2.12650187112639,-10.6617109693434,4.94879826572941,0.666592909765224,-0.000120895685063323
"20","East Flatbush-Farragut","Brooklyn",2018,"BK91",51922,1.44602832825092,-0.431299456336037,3.82938498965117,-0.939999451437617,0.000154453508237814
"21","East New York","Brooklyn",2018,"BK82",96755,2.20272117035865,-0.126983890228603,1.96040460961167,-4.77474279169289,-0.000237797646879534
"22","East New York (Pennsylvania Ave)","Brooklyn",2018,"BK85",29063,2.23088596904994,0.943602196405258,3.98737154386105,-1.76168416688352,4.51508464810029e-05
"23","East Williamsburg","Brooklyn",2018,"BK90",36038,2.17724801951857,0.668264068399497,-0.252613328326612,-6.11609331848283,-0.000267667747004051
"24","Erasmus","Brooklyn",2018,"BK95",28689,0.128705300963976,5.4211335845879,-7.01855155037811,-1.98353386868214,1.88345845421111e-05
"25","Flatbush","Brooklyn",2018,"BK42",106883,-0.805189973474984,1.46630078889133,-4.38879446832933,-0.506923759013052,-8.73250524283615e-05
"26","Flatlands","Brooklyn",2018,"BK58",72186,-0.629335606076534,-5.67570758671415,2.94538357876117,-0.842317189723383,-0.00011570933849918
"27","Fort Greene","Brooklyn",2018,"BK68",32193,3.52936490965058,8.26122497269575,-1.34379182562054,-3.67066158187653,-0.000668360965651846
"28","Georgetown-Marine Park-Bergen Beach-Mill Basin","Brooklyn",2018,"BK45",47726,-0.471461427253444,-8.44923578089935,5.35619084511619,-1.67866065402283,-0.000260879687701814
"29","Gravesend","Brooklyn",2018,"BK26",30587,-1.98884053954293,-8.98526822057578,-1.21749858709616,-4.23624518904315,-0.000110903594631561
"30","Greenpoint","Brooklyn",2018,"BK76",33918,-4.14306063074635,-1.62432517826278,-12.4871254525226,-1.68226873854635,-0.000191864583598429
"31","Homecrest","Brooklyn",2018,"BK25",45007,-1.61697714724971,-6.44206859390988,1.61498268281475,0.0238455306540218,-9.99095795353451e-05
